genome_version,selection_regime,runs_total,runtime_pass_rate,collapse_rate,trivial_strategy_rate,diversity_index_final,functional_diversity_final,final_max_fitness_mean,final_max_accuracy_mean,mean_load,mean_penalty,legacy_baseline_fitness,required_accuracy_to_beat_legacy,feasible_growth
v2,bounded_hybrid,30,1.0,0.0,0.07366666666666667,1.0,0.9673333333333333,0.7675243378939942,0.790234375,2.3172285237782777,0.023172285237782777,0.5531664379938884,0.5763387232316712,True
v2,energy_budget,30,1.0,0.0,0.07366666666666667,1.0,0.9673333333333333,0.7511739270075247,0.790234375,4.02731627499911,0.04027316274999109,0.5531664379938884,0.5934396007438795,True
v2,legacy_linear_control,30,1.0,0.0,0.07366666666666667,1.0,0.9673333333333333,0.5531664379938884,0.790234375,26.714193992527623,0.26714193992527624,0.5531664379938884,0.8203083779191647,True
v2,maintenance_cost,30,1.0,0.0,0.07366666666666667,1.0,0.9673333333333333,0.7842233238564855,0.790234375,0.6071407725574459,0.006071407725574459,0.5531664379938884,0.5592378457194629,True
v2,no_penalty_diagnostic,30,1.0,0.0,0.07366666666666667,1.0,0.9673333333333333,0.790234375,0.790234375,26.714193992527623,0.0,0.5531664379938884,0.5531664379938884,True
v2,resource_allocation,30,1.0,0.0,0.07366666666666667,1.0,0.9673333333333333,0.7501561287463149,0.790234375,4.135688024848745,0.04135688024848746,0.5531664379938884,0.5945233182423759,True
