genome_version,selection_regime,runs_total,runtime_pass_rate,collapse_rate,trivial_strategy_rate,diversity_index_final,functional_diversity_final,final_max_fitness_mean,final_max_accuracy_mean,mean_load,mean_penalty,legacy_baseline_fitness,required_accuracy_to_beat_legacy,feasible_growth
v2,bounded_hybrid,1,1.0,0.0,0.0,1.0,1.0,0.7717268308297665,0.796875,2.3484026229225554,0.023484026229225557,0.5069540608795382,0.5304380871087637,True
v2,energy_budget,1,1.0,0.0,0.0,1.0,1.0,0.7531677739122707,0.796875,4.081496497430291,0.04081496497430291,0.5069540608795382,0.5477690258538411,True
v2,legacy_linear_control,1,1.0,0.0,0.0,1.0,1.0,0.5069540608795382,0.796875,27.073584930252075,0.27073584930252076,0.5069540608795382,0.7776899101820589,True
v2,maintenance_cost,1,1.0,0.0,0.0,1.0,1.0,0.7902858877472623,0.796875,0.6153087484148199,0.0061530874841482,0.5069540608795382,0.5131071483636864,True
v2,no_penalty_diagnostic,1,1.0,0.0,0.0,1.0,1.0,0.796875,0.796875,27.073584930252075,0.0,0.5069540608795382,0.5069540608795382,True
v2,resource_allocation,1,1.0,0.0,0.0,1.0,1.0,0.7519916486097697,0.796875,4.191326192251511,0.041913261922515106,0.5069540608795382,0.5488673228020533,True
