seed,repeat,baseline_final_val_loss,optimized_final_val_loss,delta,return_code,duration_sec
1337,1,128.72574869791666,128.72581990559897,-7.120768231061447e-05,0,13.677963733673096
1337,2,128.72574869791666,128.72581990559897,-7.120768231061447e-05,0,15.160056352615356
1337,3,128.72574869791666,128.72581990559897,-7.120768231061447e-05,0,13.395722150802612
1337,4,128.72574869791666,128.72581990559897,-7.120768231061447e-05,0,13.54695987701416
1337,5,128.72574869791666,128.72581990559897,-7.120768231061447e-05,0,13.896899700164795
1339,1,129.16098022460938,129.16104634602866,-6.612141928030724e-05,0,12.881393671035767
1339,2,129.16098022460938,129.16104634602866,-6.612141928030724e-05,0,14.17963695526123
1339,3,129.16098022460938,129.16104634602866,-6.612141928030724e-05,0,12.82992148399353
1339,4,129.16098022460938,129.16104634602866,-6.612141928030724e-05,0,13.025359869003296
1339,5,129.16098022460938,129.16104634602866,-6.612141928030724e-05,0,15.535210132598877
1343,1,127.95033264160156,127.95039367675781,-6.103515625e-05,0,12.88356876373291
1343,2,127.95033264160156,127.95039367675781,-6.103515625e-05,0,13.609602928161621
1343,3,127.95033264160156,127.95039367675781,-6.103515625e-05,0,13.732338666915894
1343,4,127.95033264160156,127.95039367675781,-6.103515625e-05,0,13.62049412727356
1343,5,127.95033264160156,127.95039367675781,-6.103515625e-05,0,16.741366624832153
