seed,gain_cloze,gain_entity,gain_category,A1_3,A2_3,A3_3,dominant_role_by_max_accuracy,final_functional_diversity,final_conflict_flag_rate
1337,-0.01582440020418581,0.0,0.0,-0.01582440020418581,-0.01582440020418581,0,category,0.94,0.9323828125
1338,0.0015017269860339438,0.0,0.0,0.0015017269860339438,0.0,0,category,0.925,0.935390625
1339,0.0073992443324936985,0.0,0.0,0.0073992443324936985,0.0,0,category,0.96,0.91513671875
1340,0.005656406208892406,0.0,0.0,0.005656406208892406,0.0,0,category,0.985,0.9427734375
1341,-0.006827492034592625,0.005461993627674078,0.0,-0.0013654984069185472,-0.006827492034592625,0,category,0.95,0.90552734375
1342,-0.006401365624666602,0.0,0.0,-0.006401365624666602,-0.006401365624666602,0,category,0.975,0.956328125
1343,0.015622534322234496,0.00441849455578347,0.0,0.020041028878017966,0.0,0,category,0.94,0.8438671875
1344,0.014894250819183788,0.0032767351802205358,0.0,0.018170985999404324,0.0,0,category,0.93,0.91830078125
1345,-0.007561436672967867,0.006616257088846944,0.0,-0.0009451795841209226,-0.007561436672967867,0,category,0.955,0.9135546875
1346,0.004226202455222386,0.006037432078889071,0.0,0.010263634534111457,0.0,0,category,0.925,0.908828125
1347,0.0029178824510212586,0.0062526052521884035,0.0,0.009170487703209662,0.0,0,category,0.98,0.8978125
1348,0.015810276679841903,0.008399209486166015,0.0,0.024209486166007918,0.0,0,category,0.98,0.91607421875
1349,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0,category,0.965,0.8671875
1350,0.013654618473895583,0.006425702811244993,0.0,0.020080321285140576,0.0,0,category,0.915,0.9009765625
1351,0.0034430815579944013,0.005595007531740914,0.0,0.009038089089735316,0.0,0,category,0.96,0.8849609375
1352,0.005200090436355415,0.003617454216594984,0.0,0.008817544652950399,0.0,0,category,0.985,0.87052734375
1353,0.014522821576763476,0.0055325034578146415,0.0,0.020055325034578117,0.0,0,category,0.955,0.9151171875
1354,-0.015377757967461561,0.0049030532649877445,0.0,-0.010474704702473817,-0.015377757967461561,0,category,0.965,0.87525390625
1355,0.022476264289866307,0.007556675062972307,0.0,0.030032939352838614,0.0,0,category,0.94,0.8823046875
1356,0.003607809847198634,0.0,0.0,0.003607809847198634,0.0,0,category,0.94,0.91806640625
1357,0.01723436015741621,0.0,0.0,0.01723436015741621,0.0,0,category,0.935,0.931953125
1358,0.005106600280863016,0.009957870547682934,0.0,0.01506447082854595,0.0,0,category,0.955,0.9517578125
1359,0.012764405543398971,0.003829321663019636,0.004376367614879584,0.02097009482129819,0.003829321663019636,1,category,1.0,0.92484375
1360,-0.0014730639730639733,0.005050505050504972,0.0,0.0035774410774409987,-0.0014730639730639733,0,category,0.99,0.89912109375
1361,-0.0032820512820512793,0.004307692307692346,0.0,0.0010256410256410664,-0.0032820512820512793,0,category,0.945,0.90935546875
1362,0.006970753144415823,0.0,0.0,0.006970753144415823,0.0,0,category,0.94,0.91552734375
1363,0.0004968532626697664,0.00397482610135802,0.0,0.004471679364027786,0.0,0,category,0.965,0.91732421875
1364,0.017391304347826084,0.0,0.0,0.017391304347826084,0.0,0,category,0.95,0.92076171875
1365,-0.0002712232167073614,0.004475183075671185,0.0,0.004203959858963824,-0.0002712232167073614,0,category,0.955,0.9334375
1366,-0.013153513153513152,0.00366300366300365,0.0,-0.009490509490509502,-0.013153513153513152,0,category,1.0,0.94478515625
